Info 0    [18:43:36.166] Starting TS Server
Info 1    [18:43:36.204] Version: 4.5.4
Info 2    [18:43:36.204] Arguments: /usr/bin/node /home/rodrigo/Workspace/wikidex-learning-react/node_modules/typescript/lib/tsserver.js --logFile /home/rodrigo/Workspace/wikidex-learning-react/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/0bd8bb1493d3733f25fec37f31a1b95f/tscancellation*
Info 3    [18:43:36.204] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [18:43:36.204] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:43:36.225] Format host information updated
Info 6    [18:43:36.228] Search path: /home/rodrigo/Workspace/wikidex-learning-react/src
Info 7    [18:43:36.229] For info: /home/rodrigo/Workspace/wikidex-learning-react/src/App.js :: No config files found.
Info 8    [18:43:36.235] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [18:43:38.426] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2191.511218998581ms
Info 10   [18:43:38.427] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [18:43:38.427] 	Files (198)

Info 12   [18:43:38.427] -----------------------------------------------
Info 13   [18:43:38.442] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 14   [18:43:39.246] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 804.7968450002372ms
Info 15   [18:43:39.246] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 16   [18:43:39.247] 	Files (180)

Info 17   [18:43:39.247] -----------------------------------------------
Info 18   [18:45:09.343] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [18:45:09.441] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 97.78149999678135ms
Info 20   [18:45:09.442] Different program with same set of files
Info 21   [18:45:10.006] Format host information updated
Info 22   [18:45:13.788] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [18:45:13.920] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true structureIsReused:: SafeModules Elapsed: 132.06282300129533ms
Info 24   [18:45:13.920] Different program with same set of files
Info 25   [18:45:14.996] Format host information updated
Info 26   [18:47:59.354] DirectoryWatcher:: Triggered with /home/rodrigo/Workspace/wikidex-learning-react/src/App.css :: WatchInfo: /home/rodrigo/Workspace/wikidex-learning-react/src 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [18:47:59.355] Elapsed:: 0.8288869969546795ms DirectoryWatcher:: Triggered with /home/rodrigo/Workspace/wikidex-learning-react/src/App.css :: WatchInfo: /home/rodrigo/Workspace/wikidex-learning-react/src 0 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [18:48:05.233] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [18:48:05.371] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true structureIsReused:: SafeModules Elapsed: 137.83472499996424ms
Info 30   [18:48:05.371] Different program with same set of files
Info 31   [18:48:06.603] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [18:48:06.659] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 56.43892600014806ms
Info 33   [18:48:06.659] Different program with same set of files
Info 34   [18:48:06.935] Format host information updated
Info 35   [18:49:40.362] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [18:49:40.431] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 68.71780899912119ms
Info 37   [18:49:40.431] Different program with same set of files
Info 38   [18:49:40.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [18:49:41.004] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 54.68478900194168ms
Info 40   [18:49:41.004] Different program with same set of files
Info 41   [18:49:42.136] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [18:49:42.191] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 55.13244999945164ms
Info 43   [18:49:42.191] Different program with same set of files
Info 44   [18:49:43.983] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [18:49:44.040] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 56.57504700124264ms
Info 46   [18:49:44.040] Different program with same set of files
Info 47   [18:49:45.082] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [18:49:45.146] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 63.3229550011456ms
Info 49   [18:49:45.146] Different program with same set of files
Info 50   [18:49:45.414] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [18:49:45.474] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 60.61999100074172ms
